Index,Hotel,Review,polarity,real_fake
30,Le Germain,"I forgot my cle de peau facial wash and a cheap feminine wash in the shower room, but they told me they can only find the feminine wash. I don’t appreciate. the dishonesty of the housekeeping department .i left both items in the place, how come they can find the cheaper one. If there is an option for 0 star, I will definitely choose that.",negative,real
31,Le Germain,"Personal I don't think this hotel is worth the price. The breakfast they offer has very little options. When we checked in we were given a key to our room, we went upstairs to unlocked the door and walked in on a couple in their bed.... They gave us a key to a room already taken. We went back down stairs will all our bags, told them what happened they said sorry about that and gave us a new room and key... All in all not a good experience. If you're charging 400 a night your staff should be trained properly. Won't be back.",negative,real
32,Le Germain,"Incredibly disappointing staff, there was no service to be found at the bar. After hunting down the concierge, he was of no help either. The lack of service was unexpected and jarring. Won’t be coming back anytime soon. Thoroughly disappointed.",negative,real
33,Le Germain,"The stay at the hotel was very good, the clean service on high level, the SPA is our favorite. However, the experience of restaurant in downstairs gave bad experience( food poisoning ) and I was happy to leave this hotel as soon as possible.",negative,real
34,Le Germain,"IF YOU LIKE SMOKED MEAT AND BACON, AND CAN APPRECIATE A VALET SERVICE THAT PUTS FOOD IN YOUR CAR WITHOUT BEING ASKED, THEN THIS IS THE HOTEL FOR YOU! Although I would love to give this hotel more than one star, my recent experience at ""one of the best hotels in Calgary"", was both disappointing, and confusing. The purpose of my trip was to surprise my wife with a birthday getaway. After reading the reviews on a number of hotels, I liked the ratings and the comments people left regarding their stay here. We checked into the hotel around 8pm Saturday night. Despite there being a valet, I asked where there was parking as the horror stories about these services leave me feeling uneasy. The front desk staff said that there was public parking for $10.00/hour, so the $30 valet seemed like a great deal. We dropped off our car, went to our room - where we stayed until we checked out the following morning. Our car was brought to the front for us, just as valets do, but when we got in, there was a horrendous smell. Sitting on the back seat was a box of take out from their restaurant. We didn't eat at their restaurant and we certainly did not order take out for our car. The box was full of smoked meat, bacon, and I am not sure what else as we were immediately enraged and went back inside. We confusingly showed the hotel staff what we found in our car. To be fair, the staff seemed just as confused as we were. After being interrogated by the staff, with questions like ""did you order food and have it delivered to your car?"", to which we replied ""who even does that?"", we came to the conclusion that CLEARLY somebody was in our vehicle who should not have been. We drove to Calgary, so we had to ride in our stinky smoked meat car for 3 hours home. After speaking to the manager, who was less than willing to accommodate our experience, we were told that it wasn't a big deal, as it was just human error. No, it was not human error, because one of your staff intentionally took my car keys for no reason, and took food to my car. There is no documentation of anyone actually asking for food to be left to stagnate in my car during the night. This was a violation of privacy to say the least, and the accusatory staff have not made it any better. In the end we were told that we would receive some of our hotel charges back, which we have, but the whole experience was mind boggling. More so the excuse after excuse received. Was it a nice hotel? The room was nice. Was it worth the hassle of having to get my car cleaned? Absolutely not. Am I confused on how this is the best hotel in Calgary? Yes Would I ever return to this hotel? NEVER. Would I order smoked meat and bacon from their restaurant? HELL NO.",negative,real
35,Le Germain,"This hotel charges you for restaurant bills outside the days you actually stayed there. I was shocked that my room was billed for restaurant charges not in my name, or my wife who was on the reservation...and there were charges from a whole day before we checked in. The charges were disputed and the hotel refuses to back down despite there being charges for days we were not even there, and the name on the receipts not matching the names on my room reservation. I honestly expected better of this hotel. I will not be staying at a Germain hotel again. Save yourself the hassle and stay at the Fairmont.",negative,real
36,Le Germain,The behaviour from restaurant was quite rude and dont care attitude. To answer a simple question on the phone they put us on hold twice for 5 to 10 minutes. Stay away from this kind of customer service,negative,real
37,Le Germain,"It's astounding that after spending a substantial amount of money weeks at a time in your hotel, our loyalty was repaid by unwarranted accusations, undignified treatment from upper management, and a complete lack of accountability and response from any members of the executives. Surely, our young family does not fit the criminal profile deserving of this mistreatment, especially having the police called on us in our room in front of our 2 year old daughter to kick us out and to cut our stay short. Why haven't we heard back from anyone on the executive team to our last email correspondence a week ago who can stand by the actions and decisions taken by their upper management team. No respect or common courtesy was given and not even an explanation to support the decisions taken by unprofessional upper management staff members. It's unfortunate that a family owned company falls so far from its #1 value of ""respect"" especially towards another family. It's almost comical that this was started by an innocent email from our family asking about a hand towel which launched an assault from the upper management team to reply with an unprofessional abrasive email which included accusations of criminal intent, threats of monetary penalties, forced removal from their property and a final management decision with no discussion. The only ""criminal"" activity that happened was that we felt that you acted like crooks who were only good at taking our money with a failure to provide a service equal to the amount you charge. ***BE WARNED that another crooked activity shown was their promise of the ""complimentary breakfast"". It should more accurately state ""only one complimentary breakfast per room"" as there's an extra hidden $30 charge per occupant for the same room type as you would stay in for a single occupant. This $30 is for them to cover their cost of offering each guest a ""complimentary breakfast"", which means that you're basically paying $30 for your complimentary breakfast. Someone in the company executive team needs to own up and take responsibility for the actions taken and honour the values and ethics that the company claims to have for their guests.",negative,real
38,Le Germain,"A surprisingly disappointing hotel. Stayed at the Westin previously on the same trip and was expecting a more upscale and refined experience but received just the opposite. The suites are nice, but cleaning service is spotty and doesn't come every day. When they did clean the rooms they use a distinctively vile cleaning substance on the floors which leaves a musty aroma throughout the room. The gym and spa center is lackluster and small compared to the Westin's rooftop pool complex. Barely any equipment and not enough room for more than 4 people at a time. The complimentary breakfast on the second floor was inedible. I have eaten better breakfasts at a Motel6 in the states. The eggs were nearly plastic and the sausages had a peculiar rubber texture. Overall a very disappointing experience. Would certainly not stay here again.",negative,real
39,Le Germain,"A surprisingly disappointing hotel. Stayed at the Westin previously on the same trip and was expecting a more upscale and refined experience but received just the opposite. The suites are nice, but cleaning service is spotty and doesn't come every day. When they did clean the rooms they use a distinctively vile cleaning substance on the floors which leaves a musty aroma throughout the room. The gym and spa center is lackluster and small compared to the Westin's rooftop pool complex. Barely any equipment and not enough room for more than 4 people at a time. The complimentary breakfast on the second floor was inedible. I have eaten better breakfasts at a Motel6 in the states. The eggs were nearly plastic and the sausages had a peculiar rubber texture. Overall a very disappointing experience. Would certainly not stay here again.",negative,real
40,Le Germain,Sucks ass no fridge or microwave. The conceciger is world class. Actualy wonderful. Lack of amenities in the over priced euro trash rooms sucks,negative,real
41,Le Germain,"Looks good, but worst service ever.",negative,fake
42,Le Germain,"I had the most inconsiderate experience at a hotel at Le Germain. I was booked for two nights at Le Germain for a business trip. I do not have a credit card, so my company prepaid for my room. When I arrived at Le Germain at 11:30pm, I was told I had to provide an additional $600 in cash per night as a deposit for incidentals. After stating I simply did not have an extra $600 a night, the hotel stated they would lower it to $300. In addition, I was told the minibar would have to be locked because I didn't have a credit card. This was insulting. I attempted to transfer this from my savings account to my chequing account online. However, due to the late hour, the transfer did not go through immediately and my debit card continued to get declined. I asked if I could call a colleague and have them give their credit card information. The hotel said no. The hotel gave me no options. Even though my company had prepaid for my room. I was not allowed to stay in the room. Le Germain essentially kicked me out onto the streets of Calgary at 11:30pm, a single woman alone in a city I've never been before, to look for alternative accommodation. I will stress again, my room had been paid for. I will never stay at this hotel again in my life. I was mortified, and treated as though I was subhuman. I didn't know where to go when I left and was nervous for my safety.",negative,real
43,Le Germain,Worst place ever. Waste of money and terrible servics.,negative,fake
44,Le Germain,"This building, this company assisted in the death of my sister. It sickens me to see people give this place any stars",negative,fake
45,Le Germain,Service was horrible,negative,fake
46,Le Germain,"Nice location, and easy to find, since it's right across from Calgary Tower. The room was alright, could have been cleaner. The amenities were lacking - they had no carry-on size shampoo and conditioner, only large dispensers that were chained to the showers.Everything about our stay was just ok. Not really worth the high price point of this hotel. The treatment of the front desk left a sour taste from our visit. We were greeted by the front desk staff wear his mask on his chin (why bother wearing a chin diaper?). He was standoffish and made us feel like gum on his soles from the look he gave us. Perhaps it was because we looked young and I was holding a stuffed squishmallow gift. I expect the service to be a little more refined for the prices this hotel charges.",negative,real
47,Le Germain,Very over priced for what you are getting. The underground parking is honestly terrible! Have to drive forever to find a spot everything is reserved. The lighting in the rooms is very inefficient. Random buttons turn on random lights. For the price way more amenities should be included. The beds are comfy and so are the pillows. Very unfriendly room for kids.,negative,real
48,Le Germain,"When my wife and I arrived, we were told our booking wasn't in the system. We even had an email confirmation. They were never able to find our reservation, and we were forced to pay for a different room that wasn't want we originally wanted. After that however, the experience was more pleasant. Room was comfortable and clean, and all the employees we encountered were very warm and kind",negative,real
49,Le Germain,"The hotel staff were not friendly and the room was incredibly rundown. We have stayed at Le Germain in Toronto and had quite high expectations that the experience would be similar but it was anything but not. Not to mention that the Parking lot is before the hotel on a one way, we were forced to go through an alley where there were a bunch of junkies. I guess that's normal for DT. The hotel is fair but our expectations were not met and that's the reason for the 2/5 stars.",negative,real
50,Le Germain,"Ussualy don't write reviews but was a little disappointed with the cleanliness of my room. Overall the staff has been great the rooms are beautiful and the breakfast was great. Only problem was the room. When we arrived one of the bedsheets had a stain that looked like a face of makeup, which they promptly replaced. Later I noticed that the carpet has white stains and there is what looks like urine on the walls around the toilet. And lastly our door was left unlocked when the maids cleaned the rooms. I'm hoping this is a one off and not a reflection of the hotel. Overall, I'm disappointed with the stay as my expectations were quite high considering the quality of the reputation.",negative,real
51,The Elan,I was here for a water losses very nice building and nice people here,positive,real
52,The Elan,This is a fabulous boutique hotel. A bit outside of downtown makes it a quieter area. Staff was friendly and helpful (especially Katie). Good breakfast to start your day. Little extras as cookies and fruit at front desk. I would stay here again and again.,positive,real
53,The Elan,Very pretty hotel. Great style. Exceptionally clean. Staff are kind. Everyone says hello. The breakfast was top notch for an included breakfast. Heated toilet seats and heated floors. Sound proof too.,positive,real
54,The Elan,Great spot. I was there for meetings and they had a nice room and great service. The people that stated at the hotel raved about the rooms and send the service was exceptional. From what I saw during our meeting I'd agree. We never ran out of coffee or snacks. Great spot!,positive,real
55,The Elan,The staff was very friendly and helpful and the parking is secure and monitored at all times. The room we had was fantastic. Breakfast was included and was a step up from just a continental offering. The free cookies at the front desk was a nice touch (delicious too).,positive,fake
56,The Elan,"I enjoyed the full breakfast available every morning along with the little treats daily, such as cookies and coffee. The room was spacious, the bathroom shower has it's own light and the toilet has a seat warmer. The staff was very polite and knowledgeable of the city. A great little hotel and nicely situated just one block of 17th Avenue SW.",positive,real
57,The Elan,"This was one of my family's best-ever hotel experiences. We had a gorgeous king suite with a balcony that easily accommodated the 4 of us with the sofa bed, which was actually pretty comfy as far as soda beds go. The king bed was super comfortable and the bed linens were really great. The bathroom was really nice and it might have been the best shower I've ever had. They also had a pretty decked out breakfast buffet which we all enjoyed. Truly if I ever found myself in Calgary again I wouldn't even bother looking at other hotels, we really loved our stay there so much.",positive,real
58,The Elan,"Clean and tidy room. Lots of amenities and extras could be requested. I forgot a razor and they were happy to supply me one. Nice coffee in the room. Bed was comfortable. Nice bathroom with a big waterfall shower. Breakfast was good, with a decent selection. Staff all friendly.",positive,real
59,The Elan,Excellent stay. Rooms were very nice. They where able to book us last minute for stampede. We will stay again !,positive,real
60,The Elan,"Great hotel, great location, great breakfast and evening snacks. Amazing rooms. A nice surprise in downtown Calgary. Would love to stay again.",positive,real
61,The Elan,My stay at Hotel Elan was very good. The staff was friendly and the rooms were well kept. Its in a prime location near downtown. Last the facility was clean and nice. I would stay here again and recommend to friends and family.,positive,real
62,The Elan,We really enjoyed this hotel. Great location. (We came for the Garth Brooks concert at the Saddledome and was able to walk to the concert & walk to a multitude of restaurants etc close by). It was clean and had comfortable beds. It was quiet. And the continental breakfast was probably the best we have ever had - fresh food and laid out perfectly. We received a free room upgrade when we came which was a nice surprise for us. Apparently because we booked directly through their site they gave us a room upgrade. My husband and I will definitely be staying here again the next time we are in need of a Calgary hotel.,positive,real
63,The Elan,Beautiful hotel! Extremly clean and amazingly decorated!! The location is perfect and close to cute shops and lots of restaurant. The complimentary breakfast and host were equally awesome to wake up 2! The entire staff were so helpful and friendly. My entire family LOVED our 3 day stay- highly recommended !,positive,fake
64,The Elan,"Room is fabulous, clean. Warm toilet a must in winter in Calgary. Staff goes above and beyond to help you!!",positive,real
65,The Elan,"Fantastic Accommodations! Staff is friendly, funny and welcoming. Rooms are wonderfully spacious and clean! Beds are comfortable. Good location 😃 Defiently recommend.",positive,fake
66,The Elan,We are Expedia gold silver members and were upgraded to a business class room on arrival. We also received free continental breakfast and parking. The room was clean and reasonably furnished. The shower was fantastic in terms of temperature and pressure with very modern fixtures. Highly recommended.,positive,real
67,The Elan,"Only spent one night but were really impressed by the cleanliness and comfort of the room! We'll done! Heated toilet seat! Newly renovated bathrooms, soft towels, really comfy king bed. Did not want to get up for the early flight.",positive,real
68,The Elan,"Just perfect in every respect, from the excellent lovely reception we got at 10am on the Thursday the 16th Aug The young lady was professional while being friendly and fast tracked our room to be ready by 1.30pm. Many thanks. The room was clean and the bathroom was very clean too. If visiting Calgary I would highly recommend staying here",positive,real
69,The Elan,"Best hotel experience you could hope for. Unassuming exterior. A friend booked me into this hotel. I would have never found it as it an independent brand. Unassuming from the outside, inside my room was massive in size and felt brand new in all aspects. Great toiletries from Occitane, super friendly service on all fronts. A front desk that will remember you quickly. While the breakfast is not to European standard, it is very good compared to most in Canada. Very very clean, quiet. Decent gym. Free internet that is fast. Really recommend.",positive,real
70,The Elan,"I stayed at this hotel 3 months when I was here for a customer meeting and then again this past week. It really is a gem, from the room quality (windows open, some balconies), staff friendliness (genuinely) and the best shower hardware including heated bathroom floors and toilet seat 😉. I have Diamond status with Hilton and Gold with Marriot, but when I am in Calgary this is where I stay!",positive,real
71,The Elan,"We had a great stay at Hotel Elan! You can walk to multiple restaurants and bars, which made it easy to experience Calgary. The room was clean and the complimentary breakfast was delicious!",positive,real
72,The Elan,Had our meetings there and it was lovely. The rooms were even more than we could have asked for and the bathroom raises a new standard for us. Occitane products and heated toilet seats were the big rave. Great breakfast and great staff. Very flexible with our demands.,positive,real
73,The Elan,"A terrific hotel. Feels like your coming home to a condo, but with extra advantages like someone else cleaning and cooking for you! Very friendly staff and cool, modern decor.",positive,real
74,The Elan,Room was clean. Their bed sheet policy is pretty cool. Not changing the sheets till the third nights stay or having new tenants is one small step closer to keeping our world greener,positive,real
75,The Elan,Amazing Hotel with the friendliest most accommodating staff I've encountered in a big city,positive,real
76,The Elan,Rude staff members.,negative,real
77,The Elan,Boring hotel. Nothing but a room. Close to 17ave but for the price you can stay at much nicer hotels.,negative,real
78,The Elan,"Decent hotel. Lights in room could not be turned on individually - all or nothing. No bathtub, instead double shower.",negative,real
79,The Elan,"I have stayed at the Elan for several years as the location suits my purpose. I find the rooms with NO drawers in which to put clothes, no screens on window so I could get fresh air, very dark and dreary as well as too small. My son who was in town to compete in an important tennis tournament had. Suit with not even one drawer in the room! The rooms are clean but way too dreary and our views were simply dreadful. I think it is expensive for what it is , and charging $20 for parking is over the top. The place has deteriorated since I stayed in the early days. The good is the breakfast. Perfect. Unfortunately the area is filled with homeless, so this is not a great area inwhich to stay unless you have a reason to be in Cslgsry and won’t be in your room except briefly. Staff very pleasant, room clea but this is “bare basics”",negative,real
80,The Elan,"Really nice hotel close to the 17th Avenue with a lot of Bars & Restaurants close by. Nice, clean rooms and very friendly & helpful staff.",positive,real
81,The Elan,"Loved it! Child friendly, The breakfast is fresh and various. Good room service Nice receptionists! Very good, recommended!",positive,real
82,The Elan,"If I could give this 10 stars, I would! This is the best hotel I have ever stayed from New York to San Francisco to England to Paris. The rooms are amazing, the staff is friendly and very helpful, and the amenities are plentiful. If you are ever in Calgary, STAY AT HOTEL ELAN!",positive,fake
83,The Elan,"My husband and I stayed five nights here, and it was fantastic! The staff were friendly, knowledgable and very helpful. The ""continental breakfast"" was more like a full buffet breakfast every morning, with different selections each day. The room was spacious, very clean, and comfortable. The location was near the 17th Avenue stretch of excellent restaurants and cafes, and a close walking distance to many parts of downtown and transit, so a perfect place to base one's trip to Calgary. I look forward to staying with them again on our next trip!",positive,real
84,The Elan,"Great rooms, well equipped and very helpful staff. The location is perfect for the bars and restaurants along 17th Street. They have a very good buffet breakfast which is included and even free snacks at reception. TV had plenty of channels, and wifi worked flawlessly. Very large shower with high pressure and an overhead rainfall shower head.",positive,real
85,The Elan,"Amazing place! All the little details they have thought about totally surprised me! Philosophy body and hair products, iDock that actually charges an iPhone, plush robes, pillows labeled soft or firm, heated toilet seat, minibar with reasonably priced items, kitchenette, 2 large screen TVs, lights that you can control from other rooms, great in room tea and coffee. I could continue but I want to go to sleep in this amazing plush bed!",positive,fake
86,The Elan,"Perfect in every way. No complaints at all. Room was clean, had everything, breakfast included was way more than I expected. This will be my go to place in Calgary from now on.",positive,real
87,The Elan,Great little hotel on 17th ave. Close to a wide variety of restaurants and shops. The rooms are nice and modern with good amenities. Staff are welcoming.,positive,real
88,The Elan,Loved the roomy suite. Breakfast was good and it was close by everything without having to be in the middle of all the noise.,positive,real
89,The Elan,It was a girls night out so we rented a room in Calgary. This place was amazing. It was very clean. Our suite was beautiful it had 2 separate bedrooms with your own iron. Since one of our gf likes to iron her clothes. Each room had its own TV and u can set Ur own temperature. Shower was super awesome. And the toilet lights up. Set the mood hahaha and the toilet seats were heated!! How cool is that. Our place had a small kitchen set up. Sofa and dining table. Overall. I will definitely come back. And one more thing. Free breakfast!!,positive,real
90,The Elan,"I stayed at the hotel in October 2013, and enjoyed so many of the unique aspects of the hotel. From the friendly service at check in to the beautiful design, and being within a short walk from so many neat little restaurants- like Farm and 80th and Ivy. The key shelf was such a great idea as it was very handy when arriving into the room! The beds were extremely comfortable, and the bathroom spacious with a huge bathtub that was very relaxing to sit in each night. The small kitchen was handy as we had our young daughter with us, and I helped myself to a few of the minibar items, as it was pretty awesome that everything was under $5! All in all, a very enjoyable stay.",positive,real
91,The Elan,"Staff were very friendly, rooms were very classy and the showers too! The breakfast in the morning was a great jump start to our fishing trip. I would definitely recommend this hotel. Rooms are quiet and location is actually amazing just off of 17 ave which is riddled with restaurants and places to hang out and eat great food!",positive,real
92,The Elan,This hotel is amazing. Amazing suites. Huge space and perfect location. Great value..,positive,fake
93,The Elan,"Good-sized, well-furnished rooms with modern layouts and amazing bathrooms. Breakfasts are included and have lots of options. Friendly staff. Very good value.",positive,real
94,The Elan,"Clean, new, and well equipped to take care of you and in a great central location.",positive,fake
95,The Elan,Great condo style hotel and is south of the downtown area and just next to a street lined with restaurants.,positive,fake
96,The Elan,"This a a great hotel for business and personal travel alike. I stayed just for a night and was impressed with the staff, cleanliness of the hotel, and location. I highly recommend!!",positive,real
97,The Elan,"On day 3 of 7 of our stay. Room is excellent, bright and clean. Hotel is well maintained, with staff who make sure you have everything you need, are knowledgeable about the area, offer great advice on local restaurants and places of interest. Complimentary buffet breakfast is the best I've had at a hotel. Everything is fresh and there are a lot of choices that change daily. Beds are comfortable, bathrooms are large (heated toilet seat... love it). Internet is super fast (for a hotel) at 15mbps. Don't let the slight out of the way placement discourage you! The hotel is well worth it! Also it sits just off 17th with an amazing collection of local restaurants to choose from. Shout out to Rob at the front desk who has been excellent, the rest of the staff are super friendly and helpful too!",positive,real
98,The Elan,The hotel was beautiful with friendly staff. The rooms were absolutely amazing especially for the price! Definitely going to return next time.,positive,real
99,The Elan,Excellent hotel. Well appointed. Well situated. Super comfy beds. LOVE the shower and heated toilet.,positive,real
100,The Elan,"Loved this hotel! New, modern decore. Innovative layout in a great convenient location. I stayed for a week and would choose it again if I return to Calgary",positive,real
101,Residence Inn By Mariott Downtown,"Room was modern, clean and spacious. Attention to detail was top notch, as the doors were self closing and small comforts such as dishes, dish soap, smart TV, etc were provided. The breakfast area was beautifully designed and offered a large selection of delicious breakfast. The hotel is in an excellent area and central to the downtown area and belting district. Would definitely recommend this hotel to others! Plus they are pet friendly too which is a bonus :)",positive,real
102,Residence Inn By Mariott Downtown,The front desk staff was incredible and friendly. The hotel itself is gorgeous. We stayed on the 30th floor and had the most amazing views of the city. The price was reasonable and the location was great. The only bummer is $30/night parking but that's downtown pretty much anywhere you go. Highly recommend this hotel.,positive,real
103,Residence Inn By Mariott Downtown,Everything about this place is top notch. Service is great and always happy to help. Maids keep your rooms spotless and top up everything as much as needed. Walking distance to everything.,positive,real
104,Residence Inn By Mariott Downtown,"Happy with my 2-night stay here. The fridge was not working when we checkin, we were able to chat with front desk from our room and they sent someone to come fix right away, which was awesome. Complementary breakfast included, a variety of options available for drink and food 👌🏻 The hotel is clean, friendly staff and comfy bed. Will definitely be back again. Thank you for a great experience 🥰",positive,real
105,Residence Inn By Mariott Downtown,"The view is spectacular! Stayed here for a couple days and really enjoyed the bright, clean space. Staff were extremely accommodating with granting our request for a higher floor and made celebrating our special event so easy and enjoyable. Reception desk was prompt with any requests and made our stay so comfortable. Will be back!",positive,real
106,Residence Inn By Mariott Downtown,"I’m am extremely pleased with the level of customer service with this hotel. I especially want to mention Keshavi who was stellar in making sure everything my family of 5 needed during our stay. She went above and beyond my expectations for very unusual request. I’m so appreciative! Also, the rooms are spacious with beautiful views of the city line. Breakfast service is amazing. Location is impeccable! I will always come back to stay when in town",positive,real
